,-1,-0.3,0,0.3,1,MEMO
1.000|-1.6|0.989|-2.6|0.980|-2.3|,0,0,0,0,4.15E-06,61
1.001|-1.6|0.989|-2.6|0.981|-2.3|,-1.65E-05,-1.16E-05,0,0,0,2
1.000|-1.6|0.989|-2.6|0.981|-2.3|,-2.19E-05,-6.17E-06,-1.20E-05,6.86E-07,0.000102443,3
1.000|-1.6|0.988|-2.6|0.981|-2.3|,-2.06E-05,-7.33E-07,0,-2.77E-05,5.84E-05,2
0.999|-1.6|0.988|-2.6|0.981|-2.3|,-1.37E-05,-7.48E-06,0,-5.98E-06,4.40E-05,2
0.998|-1.5|0.988|-2.6|0.980|-2.3|,-6.38E-05,0,0,0,0.000113765,1
0.997|-1.5|0.988|-2.6|0.980|-2.3|,0,0,-1.17E-05,-3.00E-05,4.39E-05,1
0.998|-1.5|0.987|-2.6|0.980|-2.3|,0,3.00E-05,0,0,0,15
0.997|-1.5|0.987|-2.6|0.980|-2.3|,0,2.87E-05,0,0,0,1
0.997|-1.5|0.987|-2.6|0.979|-2.3|,0,0,0,0,3.56E-05,16
0.999|-1.5|0.988|-2.6|0.980|-2.3|,-2.99E-05,6.33E-06,-3.98E-05,0,0,2
1.002|-1.6|0.989|-2.6|0.982|-2.3|,-1.50E-05,-4.12E-06,0,0,2.74E-05,57
1.003|-1.7|0.990|-2.7|0.982|-2.3|,0,0,0,0,-0.00024235,6
1.004|-1.7|0.990|-2.7|0.983|-2.4|,-1.16E-08,0,0,1.10E-05,0,2
1.005|-1.7|0.990|-2.7|0.983|-2.4|,0,1.04E-06,0,0,0,12
1.004|-1.7|0.990|-2.7|0.982|-2.3|,0,5.84E-05,0,0,0,310
1.004|-1.7|0.990|-2.7|0.981|-2.3|,-5.93E-05,0,-9.33E-06,0,0,1
1.003|-1.7|0.990|-2.7|0.981|-2.3|,0,0,0.000189868,1.32E-05,-3.41E-05,7
1.003|-1.6|0.990|-2.7|0.981|-2.3|,0,0,0,2.94E-05,0,63
1.003|-1.7|0.991|-2.7|0.981|-2.3|,-2.05E-05,3.87E-05,-7.87E-06,-2.89E-05,0,38
1.002|-1.6|0.990|-2.6|0.981|-2.3|,0,-3.49E-05,0,0,2.41E-05,3
1.003|-1.6|0.991|-2.7|0.981|-2.3|,0,6.41E-05,0,0,0,6
1.002|-1.6|0.991|-2.6|0.981|-2.3|,0,0,-0.000137684,0,-1.86E-05,2
1.002|-1.6|0.991|-2.7|0.981|-2.3|,0,0,0,1.18E-05,0,20
1.002|-1.6|0.991|-2.7|0.980|-2.3|,0,0,-7.51E-06,-4.68E-06,6.72E-05,81
1.003|-1.6|0.991|-2.7|0.980|-2.3|,0,-2.99E-06,0,0,0,1
1.003|-1.7|0.992|-2.7|0.981|-2.3|,0,0,0,6.25E-05,0,2
