,-1,-0.3,0,0.3,1,MEMO
1.000|-0.8|0.980|-2.1|0.968|-3.0|0.990|-1.7|0.975|-2.3|,0.0,0.0,0.0,0.0,0.009076673530343112,2.0
1.001|-0.8|0.981|-2.1|0.969|-3.1|0.991|-1.7|0.975|-2.3|,0.0,0.0,0.0,0.017870184687477315,0.0,3.0
1.001|-0.8|0.981|-2.1|0.969|-3.1|0.993|-1.8|0.975|-2.3|,0.0,0.0,0.0,0.0,4.151100404953922e-05,1.0
1.002|-0.9|0.982|-2.2|0.970|-3.1|0.994|-1.8|0.975|-2.3|,0.0,0.0,0.0,-1.0809051276226e-05,0.0,1.0
1.003|-0.9|0.982|-2.2|0.971|-3.1|0.994|-1.8|0.975|-2.3|,-5.9320286565878186e-05,0.008989681939026696,0.7492659453816038,1.0162111579177237e-05,0.0,16.0
1.003|-0.9|0.983|-2.2|0.971|-3.1|0.994|-1.8|0.975|-2.3|,-3.448017187679397e-05,0.20526727535203787,0.0,0.0,0.0,4.0
1.002|-0.9|0.982|-2.2|0.970|-3.1|0.993|-1.8|0.975|-2.3|,0.0,0.0,0.0,0.0,0.026977922433620998,2.0
1.002|-0.9|0.981|-2.1|0.970|-3.1|0.993|-1.8|0.975|-2.3|,0.0,0.0,-2.987813417576035e-05,0.0,0.11704202100852384,2.0
1.002|-0.9|0.981|-2.1|0.970|-3.1|0.993|-1.7|0.975|-2.3|,0.0,0.0,0.06214228559437668,0.0,0.0,4.0
1.003|-0.9|0.986|-2.3|0.973|-3.1|0.994|-1.8|0.975|-2.3|,0.0,0.0,9.14351580471418,0.4756531706492552,0.009035089397877926,51.0
1.003|-0.9|0.987|-2.3|0.973|-3.1|0.994|-1.8|0.975|-2.3|,0.0,0.04482270210147856,0.0,0.0,0.0,2.0
1.003|-0.9|0.987|-2.3|0.973|-3.1|0.995|-1.8|0.975|-2.3|,0.0,0.0,0.053645288516007306,1.0591281288157006e-05,0.0,4.0
1.004|-0.9|0.987|-2.3|0.974|-3.1|0.995|-1.8|0.976|-2.3|,0.0359640894009363,-1.0344919478484372e-05,0.0,0.0,0.0,2.0
1.004|-0.9|0.987|-2.3|0.974|-3.1|0.995|-1.8|0.975|-2.3|,0.2429643908929289,0.0,0.0,0.0,0.0,1.0
1.003|-0.9|0.986|-2.3|0.973|-3.1|0.993|-1.7|0.975|-2.3|,0.02680467773349141,0.881989636034718,45.56840854038683,0.3081520497394811,0.09006673588829751,125.0
1.004|-0.9|0.987|-2.3|0.974|-3.1|0.994|-1.7|0.976|-2.3|,0.7739665797499629,0.0,9.165071390842742,1.827862406486247e-05,0.0,50.0
1.004|-0.9|0.987|-2.3|0.974|-3.1|0.994|-1.7|0.975|-2.3|,0.17996216746736055,0.0,0.3165522735276809,0.0,3.226945368851375e-05,10.0
1.005|-0.9|0.988|-2.3|0.975|-3.1|0.995|-1.7|0.975|-2.3|,0.0,-9.498865254045084e-06,0.0,0.0,0.0,1.0
1.005|-0.9|0.988|-2.3|0.975|-3.1|0.994|-1.7|0.975|-2.3|,0.08096721063434392,0.0,0.0,0.0,0.0,1.0
1.002|-0.9|0.985|-2.3|0.972|-3.1|0.992|-1.7|0.975|-2.3|,0.0,-8.547222404331481e-06,0.0,0.0,2.738875980054895,11.0
1.003|-0.9|0.987|-2.3|0.974|-3.1|0.993|-1.7|0.976|-2.3|,0.0,0.7019898086770864,0.0,0.0,0.0,1.0
1.004|-0.9|0.988|-2.3|0.975|-3.1|0.994|-1.8|0.976|-2.3|,0.0,0.0,-8.598744023231574e-06,0.0,0.0,1.0
1.004|-0.9|0.988|-2.3|0.975|-3.1|0.994|-1.7|0.976|-2.3|,0.0,0.3059903201199584,0.0,0.0,0.0,1.0
1.003|-0.9|0.987|-2.3|0.974|-3.1|0.993|-1.7|0.975|-2.3|,-4.3469835891016825e-05,0.0,0.0,0.0,0.0,1.0
1.002|-0.9|0.986|-2.3|0.973|-3.1|0.992|-1.7|0.975|-2.3|,-3.685880264953312e-05,0.0,0.0,0.0,0.0,1.0
1.001|-0.8|0.985|-2.3|0.972|-3.1|0.992|-1.7|0.975|-2.3|,0.0,-1.1395482078171424e-05,1.1455781795069429,0.0,0.0,17.0
1.001|-0.8|0.984|-2.2|0.971|-3.1|0.992|-1.7|0.975|-2.3|,-3.9111042547972367e-05,0.0,0.0,0.0,0.0,1.0
1.000|-0.8|0.983|-2.2|0.970|-3.1|0.991|-1.7|0.975|-2.3|,0.0,0.13096964327055738,0.0,0.0,0.0,8.0
0.999|-0.8|0.983|-2.2|0.970|-3.1|0.990|-1.7|0.975|-2.3|,0.0,-1.2382964497135165e-05,1.8824438945717743,0.0,0.0,22.0
0.999|-0.8|0.982|-2.2|0.969|-3.1|0.990|-1.7|0.975|-2.3|,0.0,0.0,0.0,0.05401476481628459,0.0,1.0
0.999|-0.8|0.983|-2.2|0.970|-3.1|0.991|-1.7|0.975|-2.3|,0.0,0.0,0.0,0.0,0.3092316335111822,5.0
1.000|-0.8|0.984|-2.2|0.971|-3.1|0.991|-1.7|0.975|-2.3|,0.0,0.0,0.0,0.0,0.026856075672599032,3.0
1.001|-0.9|0.985|-2.3|0.972|-3.1|0.992|-1.7|0.976|-2.3|,0.0,0.0,0.0,0.0,0.558020571359704,3.0
1.002|-0.9|0.986|-2.3|0.973|-3.1|0.993|-1.7|0.976|-2.3|,0.017963229649121674,0.008978051070803607,12.818235799624205,0.10714549113559116,3.556374698746368e-05,63.0
1.002|-0.9|0.985|-2.3|0.972|-3.1|0.993|-1.7|0.976|-2.3|,-3.7789216058286e-05,0.0,0.0,0.0,0.009036260184532468,2.0
1.001|-0.8|0.984|-2.3|0.971|-3.1|0.992|-1.7|0.976|-2.3|,0.017959782008042168,2.6388960365735388,0.11699999999999999,0.0,0.0,28.0
1.000|-0.8|0.984|-2.2|0.971|-3.1|0.992|-1.7|0.976|-2.3|,0.0,-4.667402603776623e-05,0.0,3.022226977202185,0.0,27.0
1.000|-0.8|0.983|-2.2|0.971|-3.1|0.991|-1.7|0.975|-2.3|,0.0,0.05398756050084524,2.84255946189454,0.0,0.0,27.0
1.000|-0.8|0.983|-2.2|0.971|-3.1|0.991|-1.7|0.976|-2.3|,0.0,0.026987627789370208,0.0,0.0,0.0,1.0
1.000|-0.8|0.983|-2.2|0.970|-3.1|0.992|-1.7|0.976|-2.3|,0.0,0.04498704541852419,0.0,0.0,0.0,1.0
1.003|-0.9|0.986|-2.3|0.973|-3.1|0.993|-1.7|0.976|-2.3|,0.0,1.462053896105682,0.0,0.0,0.0,6.0
1.003|-0.9|0.987|-2.3|0.974|-3.1|0.993|-1.8|0.976|-2.3|,0.19796411284921092,0.0,0.0,0.0,0.0,1.0
1.002|-0.9|0.986|-2.3|0.973|-3.1|0.993|-1.8|0.976|-2.3|,0.0,0.0,0.0,0.2288643415537951,0.0,5.0
1.003|-0.9|0.986|-2.3|0.973|-3.1|0.993|-1.8|0.975|-2.3|,0.5647635825399929,-9.431708759848334e-06,0.0,0.0,0.0,16.0
1.002|-0.9|0.986|-2.3|0.973|-3.1|0.993|-1.8|0.975|-2.3|,0.0,0.0,0.0,0.1346745864139081,0.0,3.0
1.001|-0.9|0.985|-2.3|0.972|-3.1|0.992|-1.7|0.975|-2.3|,0.0,-1.5071843137377527e-05,0.0,0.0718431504534023,0.0,3.0
1.001|-0.9|0.984|-2.3|0.972|-3.1|0.992|-1.7|0.975|-2.3|,0.08096319910860961,0.0,0.0,0.0,0.0,1.0
1.000|-0.8|0.984|-2.3|0.971|-3.1|0.992|-1.7|0.975|-2.3|,0.0,0.017987768422064676,0.0,0.0,0.0,1.0
1.002|-0.9|0.985|-2.3|0.972|-3.1|0.993|-1.7|0.975|-2.3|,0.0,0.0,0.0,0.00901157668011274,0.5111167906529219,7.0
1.002|-0.9|0.985|-2.3|0.972|-3.1|0.992|-1.8|0.976|-2.3|,0.0,0.0,0.0,0.0,0.4760565901856058,12.0
1.003|-0.9|0.986|-2.3|0.973|-3.1|0.993|-1.8|0.976|-2.3|,0.5694493141696736,0.0,0.0,0.0,3.5940877582163465e-05,13.0
1.002|-0.9|0.985|-2.3|0.972|-3.1|0.993|-1.8|0.976|-2.3|,0.0,0.0,0.0,0.01793784298172852,0.0,2.0
1.004|-0.9|0.987|-2.3|0.974|-3.2|0.994|-1.8|0.976|-2.3|,0.0,-1.0600338645758713e-05,0.2385622414940821,0.0,1.7074815479816157e-05,8.0
1.003|-0.9|0.987|-2.3|0.974|-3.2|0.994|-1.8|0.976|-2.3|,0.017963539342455762,0.0,0.0,0.0,0.0,1.0
1.003|-0.9|0.986|-2.3|0.973|-3.2|0.993|-1.8|0.976|-2.3|,0.0,0.0626851687837924,0.0,0.0,0.009043808254019951,3.0
1.005|-0.9|0.988|-2.3|0.975|-3.2|0.995|-1.8|0.976|-2.3|,0.0,0.0,0.0,0.0,8.112780916684698e-05,2.0
1.006|-0.9|0.989|-2.3|0.976|-3.2|0.995|-1.8|0.977|-2.3|,0.008944046013412447,0.0,0.0,0.0,0.0,1.0
1.006|-0.9|0.989|-2.3|0.976|-3.2|0.996|-1.8|0.977|-2.3|,0.0,0.0,0.0,0.18590687921664467,0.0,7.0
1.006|-0.9|0.990|-2.3|0.977|-3.2|0.996|-1.8|0.977|-2.3|,0.0,0.17547407464091486,0.008978408112441173,0.0,0.0,7.0
1.006|-0.9|0.992|-2.4|0.978|-3.2|0.996|-1.8|0.977|-2.3|,-2.7473190666853494e-05,0.0,0.0,0.0,2.116214719933396e-05,2.0
1.005|-0.9|0.991|-2.4|0.977|-3.2|0.995|-1.8|0.976|-2.3|,0.0,0.0,0.0,0.017844234923256853,0.0,3.0
1.005|-0.9|0.991|-2.4|0.977|-3.2|0.995|-1.8|0.977|-2.3|,-2.9129665490756908e-05,0.0,1.6436387075849528,0.04501614229571999,0.0,21.0
1.004|-0.9|0.990|-2.4|0.976|-3.2|0.995|-1.8|0.976|-2.3|,0.0,-1.5036995658022077e-05,0.0,0.0,0.18421890561936835,8.0
1.004|-0.9|0.990|-2.4|0.976|-3.2|0.994|-1.8|0.976|-2.3|,0.0,0.008763516650627278,0.0,0.0,0.0990288730077233,4.0
1.004|-0.9|0.989|-2.4|0.975|-3.2|0.994|-1.8|0.976|-2.3|,0.0,-1.7466781625614654e-05,0.3943928755201114,0.0,0.0,10.0
1.003|-0.9|0.989|-2.4|0.975|-3.2|0.994|-1.8|0.976|-2.3|,-3.1516902246835344e-05,0.15298874682091526,1.465498862407946,0.0,0.01804320280517618,20.0
1.002|-0.9|0.988|-2.3|0.974|-3.2|0.993|-1.8|0.976|-2.3|,0.0,0.0,0.0,0.0,0.009031516902246836,1.0
1.004|-0.9|0.989|-2.4|0.976|-3.2|0.994|-1.8|0.976|-2.3|,0.0,0.0,0.0,0.027017187943628014,0.0,1.0
1.006|-0.9|0.991|-2.4|0.978|-3.2|0.996|-1.8|0.976|-2.3|,0.0,-2.0820219289703347e-05,0.7870609827312776,0.0,0.0,14.0
1.005|-0.9|0.991|-2.4|0.977|-3.2|0.996|-1.8|0.976|-2.3|,0.2467656771196003,0.0,0.0,0.0,0.0,7.0
1.005|-0.9|0.991|-2.4|0.977|-3.2|0.996|-1.8|0.977|-2.3|,0.0,0.0,0.0,0.3240467014452176,0.0,2.0
1.006|-0.9|0.991|-2.4|0.978|-3.2|0.996|-1.8|0.977|-2.3|,0.0,0.008976441995715675,6.750944268031496,0.00902280633759824,3.384459094945669e-05,43.0
1.007|-0.9|0.992|-2.4|0.979|-3.2|0.997|-1.8|0.977|-2.3|,0.15295386513563888,-2.2137162787885245e-05,0.0,0.0,0.0,2.0
1.006|-0.9|0.992|-2.4|0.978|-3.2|0.997|-1.8|0.977|-2.3|,0.0,0.0,0.0,0.009022137162787885,0.0,1.0
1.007|-0.9|0.993|-2.4|0.979|-3.2|0.997|-1.8|0.977|-2.3|,0.0,0.0,0.0,0.0,0.07126575848594291,5.0
1.008|-1.0|0.994|-2.4|0.980|-3.2|0.998|-1.8|0.977|-2.3|,0.0,-2.1410790760683086e-05,0.0,0.0,0.009092328181742158,3.0
1.008|-1.0|0.993|-2.4|0.980|-3.2|0.997|-1.8|0.977|-2.3|,0.0,0.0,0.0,0.009021410790760685,0.0,1.0
1.009|-1.0|0.995|-2.4|0.981|-3.2|0.998|-1.8|0.978|-2.3|,0.0,0.026629226108149214,0.0,0.0,0.0,4.0
1.009|-1.0|0.994|-2.4|0.981|-3.2|0.998|-1.8|0.978|-2.3|,0.0,0.0,0.0,0.0536436402849913,0.0,3.0
1.009|-1.0|0.995|-2.4|0.981|-3.3|0.998|-1.8|0.978|-2.3|,0.0,0.0,0.0,0.009041209821224187,0.0,2.0
1.009|-1.0|0.996|-2.5|0.981|-3.3|0.998|-1.8|0.978|-2.3|,-4.194711738364276e-05,0.0,0.0,-3.179708584752916e-06,0.0,2.0
