,-1,-0.3,0,0.3,1,MEMO
1.000|-0.8|0.980|-2.1|0.968|-3.0|0.990|-1.7|0.975|-2.3|,0,4.15E-06,0,0,0,1
1.000|-0.8|0.979|-2.1|0.968|-3.0|0.990|-1.7|0.975|-2.3|,-0.000117873,-1.20E-05,0.000208084,1.73E-05,0,1
0.999|-0.8|0.979|-2.1|0.967|-3.0|0.990|-1.7|0.975|-2.3|,-0.000117859,-6.87E-06,0,0,0,1
0.998|-0.8|0.978|-2.1|0.966|-3.0|0.989|-1.7|0.974|-2.3|,0,-5.98E-06,-2.06E-05,-1.37E-05,6.66E-05,1
0.998|-0.8|0.977|-2.1|0.966|-3.0|0.989|-1.7|0.974|-2.3|,0,0,0,5.98E-06,0,1
0.999|-0.8|0.979|-2.1|0.967|-3.0|0.989|-1.7|0.975|-2.3|,-2.99E-05,-1.17E-05,0,4.46E-05,0,1
0.999|-0.8|0.978|-2.1|0.967|-3.0|0.989|-1.7|0.975|-2.3|,0,0,0,0,0.000149478,1
1.000|-0.8|0.980|-2.1|0.968|-3.0|0.991|-1.7|0.975|-2.3|,0,0,0,0,4.05E-05,1
1.001|-0.8|0.981|-2.1|0.969|-3.0|0.991|-1.7|0.975|-2.3|,0,0,0,1.10E-05,0,1
1.001|-0.8|0.981|-2.1|0.969|-3.1|0.992|-1.7|0.975|-2.3|,0,0,-0.000281849,1.25E-05,0,1
1.002|-0.9|0.981|-2.1|0.970|-3.1|0.992|-1.7|0.975|-2.3|,-4.36E-05,0,-1.63E-07,0,3.73E-05,1
1.001|-0.8|0.980|-2.1|0.969|-3.0|0.991|-1.7|0.975|-2.3|,0,0,0,0,3.90E-05,1
1.003|-0.9|0.982|-2.2|0.971|-3.1|0.992|-1.7|0.975|-2.3|,0,-1.10E-05,0,0,7.11E-05,1
1.002|-0.9|0.982|-2.2|0.970|-3.1|0.992|-1.7|0.975|-2.3|,0,0,0,2.20E-05,0,1
1.004|-0.9|0.983|-2.2|0.972|-3.1|0.993|-1.7|0.975|-2.3|,0,0,0,2.53E-05,0,1
1.004|-0.9|0.984|-2.2|0.972|-3.1|0.993|-1.7|0.976|-2.3|,0,-1.04E-05,0,2.03E-05,0,1
1.004|-0.9|0.983|-2.2|0.972|-3.1|0.993|-1.7|0.976|-2.3|,-3.56E-05,-1.05E-05,0,1.00E-06,0,1
1.003|-0.9|0.983|-2.2|0.971|-3.1|0.993|-1.7|0.975|-2.3|,0,-1.07E-05,0,3.34E-05,0,1
1.004|-0.9|0.984|-2.2|0.972|-3.1|0.994|-1.7|0.976|-2.3|,-3.47E-05,-1.62E-05,0,0,3.27E-05,1
1.003|-0.9|0.983|-2.2|0.972|-3.1|0.993|-1.7|0.975|-2.3|,-3.41E-05,0,0,0,0,1
1.003|-0.9|0.982|-2.2|0.971|-3.1|0.993|-1.7|0.975|-2.3|,0,0,0,0,3.54E-05,1
1.005|-0.9|0.985|-2.2|0.973|-3.1|0.994|-1.7|0.976|-2.3|,0,-9.62E-06,0,6.61E-05,0,1
1.006|-0.9|0.985|-2.2|0.974|-3.1|0.995|-1.7|0.976|-2.3|,-3.01E-05,0,0,3.34E-08,0,1
1.005|-0.9|0.984|-2.2|0.973|-3.1|0.994|-1.7|0.976|-2.3|,0,0,0,0,3.23E-05,1
1.006|-0.9|0.986|-2.2|0.974|-3.1|0.995|-1.7|0.976|-2.3|,-3.47E-05,0,2.70E-06,0,0,1
1.006|-0.9|0.985|-2.2|0.974|-3.1|0.994|-1.7|0.976|-2.3|,0,-7.39E-06,-1.07E-05,6.66E-06,0,1
1.006|-0.9|0.986|-2.2|0.974|-3.1|0.995|-1.8|0.976|-2.3|,0,0,0,0,2.72E-05,1
1.007|-0.9|0.987|-2.2|0.975|-3.1|0.995|-1.8|0.976|-2.3|,0,0,0,0,5.05E-05,1
1.008|-0.9|0.988|-2.2|0.976|-3.1|0.996|-1.8|0.976|-2.3|,-1.84E-05,0,0,9.67E-06,0,1
1.008|-0.9|0.988|-2.2|0.977|-3.1|0.996|-1.8|0.976|-2.3|,0,0,0,1.13E-05,0,1
1.009|-1.0|0.989|-2.2|0.977|-3.1|0.997|-1.8|0.976|-2.3|,0,-4.68E-06,-2.99E-06,-0.000133655,3.36E-05,1
1.009|-1.0|0.989|-2.2|0.978|-3.1|0.997|-1.8|0.976|-2.3|,0,-7.51E-06,0,0,0,1
1.010|-1.0|0.990|-2.2|0.978|-3.1|0.997|-1.8|0.977|-2.3|,0,0,0,5.24E-06,3.36E-05,1
1.010|-1.0|0.990|-2.2|0.978|-3.1|0.998|-1.8|0.977|-2.3|,0,0,-1.04E-05,0,0,1
1.011|-1.0|0.991|-2.3|0.979|-3.2|0.998|-1.8|0.977|-2.3|,0,0,0,0,2.38E-05,1
1.012|-1.0|0.992|-2.3|0.980|-3.2|0.999|-1.8|0.977|-2.3|,-2.71E-05,0,-5.27E-06,0,2.22E-05,1
1.011|-1.0|0.991|-2.3|0.979|-3.2|0.999|-1.8|0.977|-2.3|,0,0,0,-7.97E-06,0,1
1.011|-1.0|0.991|-2.3|0.980|-3.2|0.999|-1.8|0.977|-2.3|,-8.19E-06,0,-5.63E-06,1.29E-05,0,1
1.010|-1.0|0.990|-2.3|0.979|-3.1|0.998|-1.8|0.977|-2.3|,0,0,0,0,3.65E-05,1
1.013|-1.0|0.993|-2.3|0.981|-3.2|1.000|-1.8|0.977|-2.3|,0,-7.82E-06,-2.13E-09,0,2.04E-05,1
1.012|-1.0|0.992|-2.3|0.981|-3.2|0.999|-1.8|0.977|-2.3|,0,0,0,0,1.80E-05,1
1.013|-1.0|0.993|-2.3|0.982|-3.2|1.000|-1.8|0.977|-2.3|,0,-7.79E-06,0,0,0,1
1.014|-1.0|0.994|-2.3|0.982|-3.2|1.000|-1.8|0.977|-2.3|,0,-1.29E-06,0,1.77E-05,0,1
1.014|-1.0|0.994|-2.3|0.983|-3.2|1.001|-1.8|0.977|-2.3|,0,-6.79E-06,0,0,3.40E-05,1
1.015|-1.1|0.995|-2.3|0.984|-3.2|1.001|-1.8|0.978|-2.3|,-2.18E-05,-1.43E-05,-1.68E-05,3.12E-05,0,1
1.015|-1.0|0.995|-2.3|0.984|-3.2|1.001|-1.8|0.978|-2.3|,0,0,0,4.66E-07,0,1
1.016|-1.1|0.996|-2.3|0.984|-3.2|1.001|-1.8|0.978|-2.3|,-1.41E-05,-6.11E-06,-2.91E-06,-4.90E-07,-3.53E-07,1
1.015|-1.0|0.995|-2.3|0.983|-3.2|1.001|-1.8|0.978|-2.3|,0,-2.07E-07,0,0,0,1
1.015|-1.0|0.995|-2.3|0.983|-3.2|1.001|-1.8|0.977|-2.3|,0,0,0,0,2.64E-05,1
1.017|-1.1|0.997|-2.3|0.985|-3.2|1.002|-1.8|0.978|-2.3|,0,0,1.38E-05,0,0,1
1.017|-1.1|0.997|-2.3|0.985|-3.2|1.002|-1.9|0.978|-2.3|,0,0,0,1.51E-05,0,1
1.017|-1.1|0.997|-2.3|0.986|-3.2|1.003|-1.9|0.978|-2.3|,-1.59E-05,0,-1.09E-06,0,2.61E-05,1
1.016|-1.1|0.996|-2.3|0.985|-3.2|1.002|-1.8|0.978|-2.3|,0,9.51E-06,-1.01E-05,0,0,1
1.016|-1.1|0.996|-2.3|0.984|-3.2|1.002|-1.8|0.978|-2.3|,0,-0.000217477,0,0,0,1
1.016|-1.1|0.996|-2.3|0.984|-3.2|1.002|-1.9|0.978|-2.3|,0,0,1.28E-06,0,1.56E-05,1
1.018|-1.1|0.998|-2.3|0.987|-3.2|1.003|-1.9|0.978|-2.3|,0,-4.62E-06,0,5.01E-06,0,1
1.019|-1.1|0.999|-2.4|0.987|-3.2|1.003|-1.9|0.978|-2.4|,-8.59E-06,0,0,0,0,1
1.018|-1.1|0.998|-2.3|0.986|-3.2|1.003|-1.9|0.978|-2.3|,0,-1.80E-06,0,0,0,1
1.019|-1.1|0.999|-2.4|0.987|-3.2|1.004|-1.9|0.978|-2.4|,0,-1.73E-06,0,0,3.43E-05,1
1.020|-1.1|1.000|-2.4|0.988|-3.2|1.004|-1.9|0.978|-2.4|,0,-3.80E-06,0,4.35E-06,0,1
1.020|-1.1|1.000|-2.4|0.989|-3.2|1.005|-1.9|0.978|-2.4|,0,0,0,5.07E-06,0,1
1.020|-1.1|1.001|-2.4|0.989|-3.3|1.005|-1.9|0.979|-2.4|,0,-2.22E-06,1.78E-06,2.72E-06,0,1
1.021|-1.1|1.001|-2.4|0.989|-3.3|1.005|-1.9|0.979|-2.4|,-4.17E-06,0,0,3.67E-06,-2.86E-06,1
1.022|-1.1|1.002|-2.4|0.990|-3.3|1.006|-1.9|0.979|-2.4|,-0.000111414,0,0,0,0,1
1.021|-1.1|1.001|-2.4|0.989|-3.3|1.005|-1.9|0.978|-2.4|,0,0,1.18E-05,0,0,1
1.020|-1.1|1.000|-2.4|0.989|-3.2|1.004|-1.9|0.978|-2.4|,-5.55E-06,0,0,0,0,1
1.019|-1.1|0.999|-2.4|0.988|-3.2|1.004|-1.9|0.978|-2.4|,0,-7.25E-06,-0.000137654,0,0,1
1.020|-1.1|1.000|-2.4|0.988|-3.2|1.005|-1.9|0.978|-2.4|,0,-3.40E-06,0,0,0,1
1.019|-1.1|1.000|-2.4|0.988|-3.2|1.004|-1.9|0.978|-2.4|,-1.03E-05,0,0,0,9.56E-06,1
1.018|-1.1|0.999|-2.4|0.987|-3.2|1.004|-1.9|0.978|-2.4|,0,0,-1.74E-06,5.68E-06,0,1
1.020|-1.1|1.001|-2.4|0.989|-3.3|1.005|-1.9|0.978|-2.4|,0,-2.36E-06,0.000151208,0,1.05E-05,1
1.020|-1.1|1.000|-2.4|0.989|-3.3|1.005|-1.9|0.978|-2.4|,0,0,0,1.11E-06,0,1
1.021|-1.1|1.002|-2.4|0.990|-3.3|1.006|-1.9|0.979|-2.4|,0,0,0,0,5.11E-06,1
1.022|-1.2|1.003|-2.4|0.991|-3.3|1.006|-1.9|0.979|-2.4|,0,-1.35E-06,0,0,0,1
1.022|-1.2|1.002|-2.4|0.991|-3.3|1.006|-1.9|0.979|-2.4|,-5.63E-06,-1.40E-06,-8.20E-07,1.58E-06,0,1
1.021|-1.1|1.001|-2.4|0.990|-3.3|1.005|-1.9|0.979|-2.4|,-7.33E-06,0,0,6.91E-07,0,1
1.021|-1.1|1.001|-2.4|0.990|-3.3|1.006|-1.9|0.979|-2.4|,0,0,0,0,6.52E-06,1
1.023|-1.2|1.003|-2.4|0.991|-3.3|1.006|-1.9|0.979|-2.4|,0,0,4.79E-06,0,0,1
1.023|-1.2|1.003|-2.4|0.991|-3.3|1.007|-1.9|0.979|-2.4|,0,0,0,0.000167727,0,1
1.023|-1.2|1.003|-2.4|0.992|-3.3|1.007|-1.9|0.979|-2.4|,-4.18E-06,-3.92E-06,0,2.69E-06,0,1
1.023|-1.2|1.004|-2.4|0.992|-3.3|1.007|-1.9|0.979|-2.4|,0,-1.63E-06,-2.51E-06,0,2.48E-07,1
1.024|-1.2|1.005|-2.4|0.993|-3.3|1.008|-1.9|0.979|-2.4|,0,-6.96E-07,-2.82E-06,0,6.28E-06,1
1.024|-1.2|1.004|-2.4|0.993|-3.3|1.008|-1.9|0.979|-2.4|,0,0,0,3.51E-06,0,1
1.025|-1.2|1.006|-2.4|0.994|-3.3|1.009|-1.9|0.980|-2.4|,0,0,0,-5.25E-07,-1.76E-06,1
1.026|-1.2|1.006|-2.4|0.995|-3.3|1.009|-1.9|0.980|-2.4|,1.09E-05,0,-7.51E-06,-1.74E-06,-7.19E-06,1
1.027|-1.2|1.007|-2.5|0.996|-3.3|1.009|-1.9|0.980|-2.4|,0,0,3.00E-06,-1.50E-06,0,1
1.027|-1.2|1.008|-2.5|0.996|-3.3|1.010|-2.0|0.980|-2.4|,0,-9.05E-05,0,0,0,1
1.027|-1.2|1.007|-2.5|0.996|-3.3|1.009|-2.0|0.980|-2.4|,2.34E-06,0,0,0,0,1
1.025|-1.2|1.005|-2.4|0.994|-3.3|1.008|-1.9|0.979|-2.4|,0,2.88E-05,-3.24E-06,-8.01E-06,0,1
1.025|-1.2|1.006|-2.4|0.994|-3.3|1.008|-1.9|0.980|-2.4|,0,3.30E-07,9.59E-07,4.15E-07,-5.81E-06,1
1.026|-1.2|1.007|-2.4|0.995|-3.3|1.009|-1.9|0.980|-2.4|,2.16E-06,0,-6.09E-07,0,-2.07E-05,1
1.027|-1.2|1.007|-2.5|0.996|-3.3|1.010|-2.0|0.980|-2.4|,0,3.37E-07,0,0,0,1
1.027|-1.2|1.007|-2.4|0.996|-3.3|1.009|-2.0|0.980|-2.4|,0,-1.99E-07,0,-1.80E-06,0,1
1.026|-1.2|1.007|-2.4|0.995|-3.3|1.009|-2.0|0.980|-2.4|,0,0,-3.71E-07,0,0,1
1.025|-1.2|1.005|-2.4|0.994|-3.3|1.008|-1.9|0.980|-2.4|,-6.93E-05,-5.45E-06,-7.94E-07,-8.47E-07,-5.86E-07,1
1.026|-1.2|1.006|-2.4|0.994|-3.3|1.009|-1.9|0.980|-2.4|,0,0,1.75E-06,-5.81E-07,-2.19E-06,1
1.024|-1.2|1.004|-2.4|0.993|-3.3|1.007|-1.9|0.979|-2.4|,-2.72E-06,0,0,0,0,1
1.024|-1.2|1.004|-2.4|0.992|-3.3|1.007|-1.9|0.979|-2.4|,0,0,0,0,1.57E-06,1
1.025|-1.2|1.005|-2.4|0.993|-3.3|1.008|-1.9|0.979|-2.4|,0,0,0,-5.81E-07,0,1
1.025|-1.2|1.005|-2.4|0.993|-3.3|1.008|-1.9|0.980|-2.4|,-8.52E-07,0,2.06E-05,0,0,1
1.024|-1.2|1.004|-2.4|0.992|-3.3|1.007|-1.9|0.980|-2.4|,0,-6.86E-07,0,0,0,1
1.023|-1.2|1.004|-2.4|0.992|-3.3|1.007|-1.9|0.980|-2.4|,0,0,-7.03E-07,0,2.30E-06,1
1.024|-1.2|1.005|-2.4|0.993|-3.3|1.008|-1.9|0.980|-2.4|,0,0,0,0,-2.71E-07,1
1.026|-1.2|1.007|-2.5|0.995|-3.3|1.009|-2.0|0.980|-2.4|,0,0,-1.36E-06,0,-7.41E-07,1
